0	 1	 50	
0.9009777190	-0.1359230830	0.4120243490	-0.3328772550
0.0954077686	0.9884836290	0.1174626430	-0.5348042470
-0.4232452090	-0.0665209001	0.9035698440	1.0526604500
0.0000000000	0.0000000000	0.0000000000	1.0000000000
0	 2	 50	
0.7910246700	-0.2330440310	0.5656593070	-0.4441029780
0.1545855690	0.9707401530	0.1837576060	-0.7849783470
-0.5919318150	-0.0579140344	0.8039046530	1.5371327600
0.0000000000	0.0000000000	0.0000000000	1.0000000000
0	 3	 50	
0.9947403060	0.0517320532	0.0884054169	-0.6396460180
-0.0879058344	0.8741821620	0.4775752430	-0.3557697690
-0.0525764906	-0.4828346950	0.8741317800	1.6793463700
0.0000000000	0.0000000000	0.0000000000	1.0000000000
0	 48	 50	
0.8808545810	-0.3837741150	-0.2771509280	1.8975462300
0.2882503960	0.8992403170	-0.3290570790	0.0015802487
0.3755088770	0.2099625710	0.9027229930	0.2142114770
0.0000000000	0.0000000000	0.0000000000	1.0000000000
0	 49	 50	
0.9990939880	0.0136845522	0.0402980898	0.2063339710
-0.0162498256	0.9978154120	0.0640339516	-0.4350854450
-0.0393337791	-0.0646307730	0.9971337510	1.2937597500
0.0000000000	0.0000000000	0.0000000000	1.0000000000
1	 2	 50	
0.9712118680	-0.0910593477	0.2201265620	-0.3723333090
0.0677263548	0.9914732470	0.1113280810	-0.3339616060
-0.2283870590	-0.0932147837	0.9690977020	0.5259732240
0.0000000000	0.0000000000	0.0000000000	1.0000000000
1	 3	 50	
0.9425499590	0.2171243930	-0.2538829900	-0.3479065710
-0.1172882120	0.9266825650	0.3570754810	0.0141157873
0.3127987370	-0.3067839980	0.8989107450	0.5013233800
0.0000000000	0.0000000000	0.0000000000	1.0000000000
1	 22	 50	
-0.9705936300	-0.1283904520	0.2036268580	1.8205737900
0.2388166780	-0.6198364090	0.7475088100	0.6051883890
0.0302423462	0.7741567790	0.6322710510	-0.4123566810
0.0000000000	0.0000000000	0.0000000000	1.0000000000
1	 26	 50	
0.3347641750	-0.3280416350	0.8833581570	-1.1192931200
-0.9131479790	0.1184471620	0.3900397910	1.0966891400
-0.2325805570	-0.9372080640	-0.2598986890	5.0967998800
0.0000000000	0.0000000000	0.0000000000	1.0000000000
1	 36	 50	
-0.0534868908	-0.9059737380	-0.4199413520	3.4164441500
0.9814304230	0.0298851890	-0.1894761210	0.3247089930
0.1842104160	-0.4222777070	0.8875517230	1.4976640000
0.0000000000	0.0000000000	0.0000000000	1.0000000000
1	 49	 50	
0.9076304950	0.0854412892	-0.4109825680	0.5209874040
-0.1196129470	0.9911185860	-0.0581092975	0.0273434197
0.4023675290	0.1019006070	0.9097893370	0.3723193010
0.0000000000	0.0000000000	0.0000000000	1.0000000000
2	 3	 50	
